Year,Month,Temperature Anomaly,UC,Temperature
1899,2,2.394,0.542,-5.136
1899,3,2.334,0.499,0.314
1899,4,-0.357,0.914,4.173
1899,5,1.299,0.531,10.359
1899,6,1.514,0.439,15.084
1899,7,0.163,0.588,16.533
1899,8,0.224,0.647,15.784
1899,9,-0.585,0.668,10.475
1899,10,-0.014,0.841,4.496
1899,11,-1.339,0.752,-3.459
1899,12,-2.655,1.841,-9.665
1900,1,-6.321,1.104,-16.111
1900,2,-4.949,1.159,-12.479
1900,3,0.916,0.895,-1.104
1900,4,-2.268,0.555,2.262
1900,5,1.491,0.523,10.551
1900,6,-0.615,0.458,12.955
1900,7,0.664,0.330,17.034
1900,8,-0.329,0.558,15.231
1900,9,-0.131,0.372,10.929
1900,10,-0.448,0.500,4.062
1900,11,0.599,0.630,-1.521
1900,12,-0.056,0.661,-7.066
1901,1,-1.194,0.927,-10.984
1901,2,-1.079,1.123,-8.609
1901,3,1.742,0.545,-0.278
1901,4,-0.605,0.471,3.925
1901,5,-0.372,0.577,8.688
1901,6,-1.755,0.482,11.815
1901,7,-0.224,0.945,16.146
1901,8,-0.653,0.399,14.907
1901,9,-0.050,0.456,11.01
1901,10,-2.879,0.829,1.631
1901,11,1.154,0.477,-0.966
1901,12,0.350,0.906,-6.66
1902,1,2.159,0.701,-7.631
1902,2,0.480,0.913,-7.05
1902,3,-0.276,0.433,-2.296
1902,4,-2.221,0.350,2.309
1902,5,1.137,0.605,10.197
1902,6,1.039,0.336,14.609
1902,7,-0.980,0.482,15.39
1902,8,-0.404,0.460,15.156
1902,9,-0.238,0.408,10.822
1902,10,-0.729,0.576,3.781
1902,11,-0.305,0.708,-2.425
1902,12,-0.017,1.609,-7.027
1903,1,-2.393,1.709,-12.183
1903,2,-1.230,1.649,-8.76
1903,3,-5.090,0.560,-7.11
1903,4,-2.977,0.478,1.553
1903,5,-1.331,0.214,7.729
1903,6,-0.213,0.537,13.357
1903,7,-1.325,0.431,15.045
1903,8,-0.094,0.391,15.466
1903,9,0.361,0.418,11.421
1903,10,0.184,0.425,4.694
1903,11,-1.100,0.454,-3.22
1903,12,-2.152,0.590,-9.162
1904,1,-4.477,1.283,-14.267
1904,2,1.455,0.471,-6.075
1904,3,0.553,0.398,-1.467
1904,4,-1.697,0.568,2.833
1904,5,0.336,0.842,9.396
1904,6,0.251,0.481,13.821
1904,7,-0.482,0.809,15.888
1904,8,-0.381,0.608,15.179
1904,9,-1.220,0.450,9.84
1904,10,-3.059,0.485,1.451
1904,11,1.223,0.625,-0.897
1904,12,0.966,0.777,-6.044
1905,1,-1.695,0.793,-11.485
1905,2,-6.038,0.805,-13.568
1905,3,-4.498,0.490,-6.518
1905,4,-1.835,0.578,2.695
1905,5,-0.102,0.574,8.958
1905,6,0.273,0.335,13.843
1905,7,-0.126,0.487,16.244
1905,8,-0.179,0.582,15.381
1905,9,0.269,0.408,11.329
1905,10,1.239,0.485,5.749
1905,11,0.724,0.392,-1.396
1905,12,-0.860,0.590,-7.87
1906,1,-2.129,0.950,-11.919
1906,2,-0.935,0.900,-8.465
1906,3,-0.152,0.321,-2.172
1906,4,-2.696,0.436,1.834
1906,5,0.332,0.314,9.392
1906,6,1.031,0.690,14.601
1906,7,-0.889,0.746,15.481
