Year,Month,Temperature Anomaly,UC,Temperature
1810,7,-0.091,3.110,14.099
1810,8,0.246,2.874,13.236
1810,9,0.045,2.934,8.475
1810,10,-1.617,3.270,1.393
1810,11,-2.287,5.111,-5.037
1810,12,-1.624,4.475,-8.264
1811,1,-0.494,1.379,-9.384
1811,2,-0.078,3.403,-8.648
1811,3,2.583,5.154,-1.697
1811,4,-1.316,1.566,-0.616
1811,5,1.178,2.018,7.958
1811,6,1.06,2.226,13.38
1811,7,1.576,3.288,15.766
1811,8,-0.131,3.924,12.859
1811,9,-0.363,4.647,8.067
1811,10,-1.421,4.790,1.589
1811,11,-0.053,2.068,-2.803
1811,12,-0.431,3.941,-7.071
1812,1,-0.369,6.929,-9.259
1812,2,1.871,4.277,-6.699
1812,3,-3.515,2.492,-7.795
1812,4,-3.461,4.931,-2.761
1812,5,-1.948,1.169,4.832
1812,6,-1.803,1.541,10.517
1812,7,-2.072,2.561,12.118
1812,8,0.108,1.576,13.098
1812,9,-2.385,6.014,6.045
1812,10,0.207,2.666,3.217
1812,11,-2.783,4.455,-5.533
1812,12,-4.451,6.093,-11.091
1813,1,-0.332,5.235,-9.222
1813,2,3.202,2.133,-5.368
1813,3,1.059,3.713,-3.221
1813,4,0.718,3.501,1.418
1813,5,-0.955,7.538,5.825
1813,6,-1.659,2.074,10.661
1813,7,1.262,2.153,15.452
1813,8,-0.273,1.709,12.717
1813,9,0.667,4.123,9.097
1813,10,-3.335,2.209,-0.325
1813,11,0.573,2.467,-2.177
1813,12,-0.872,3.894,-7.512
1814,1,-7.601,4.275,-16.491
